RESTRTYP,FieldNamePrefix,FieldType,FieldLength,RestrictionNamePrefix,DescriptorNamePrefixImperial,DescriptorNamePrefixMetric,DescriptorMultiplierMetric,ParameterNameImperial,ParameterNameMetric
!A,GrossVehicleWeight_Tons_,Double,1,Weight: Gross Vehicle Weight Restriction for ,Weight: Gross Vehicle Weight Limit (tons) for ,Weight: Gross Vehicle Weight Limit (metric tons) for,0.90718474,Gross Vehicle Weight (tons),Gross Vehicle Weight (metric tons)
!B,WeightPerAxle_Tons_,Double,1,Weight: Weight Restriction Per Axle for ,Weight: Weight Limit Per Axle (tons) for ,Weight: Weight Limit Per Axle (metric tons) for,0.90718474,Weight Per Axle (tons),Weight Per Axle (metric tons)
!C,TandemAxleWeight_Tons_,Double,1,Weight: Tandem Axle Weight Restriction for ,Weight: Tandem Axle Weight Limit (tons) for ,Weight: Tandem Axle Weight Limit (metric tons) for,0.90718474,Tandem Axle Weight (tons),Tandem Axle Weight (metric tons)
!D,TridemAxleWeight_Tons_,Double,1,Weight: Tridem Axle Weight Restriction for ,Weight: Tridem Axle Weight Limit (tons) for ,Weight: Tridem Axle Weight Limit (metric tons) for,0.90718474,Tridem Axle Weight (tons),Tridem Axle Weight (metric tons)
!E,OtherWeight_Tons_,Double,1,Weight: Other Weight Restriction for ,Weight: Other Weight Limit (tons) for ,Weight: Other Weight Limit (metric tons) for,0.90718474,Other Weight (tons),Other Weight (metric tons)
!F,UnladenVehicleWeight_Tons_,Double,1,Weight: Unladen Vehicle Weight Restriction for ,Weight: Unladen Vehicle Weight Limit (tons) for ,Weight: Unladen Vehicle Weight Limit (metric tons) for,0.90718474,Unladen Vehicle Weight (tons),Unladen Vehicle Weight (metric tons)
!G,TotalVehicleLength_Feet_,Double,1,Length: Total Vehicle Length Restriction for ,Length: Total Vehicle Length Limit (feet) for ,Length: Total Vehicle Length Limit (meters) for,0.3048,Total Vehicle Length (feet),Total Vehicle Length (meters)
!H,ExtremeAxleLength_Feet_,Double,1,Length: Extreme Axle Length Restriction for ,Length: Extreme Axle Length Limit (feet) for ,Length: Extreme Axle Length Limit (meters) for,0.3048,Extreme Axle Length (feet),Extreme Axle Length (meters)
!I,TrailerLength_Feet_,Double,1,Length: Trailer Length Restriction for ,Length: Trailer Length Limit (feet) for ,Length: Trailer Length Limit (meters) for,0.3048,Trailer Length (feet),Trailer Length (meters)
!J,TractorLength_Feet_,Double,1,Length: Tractor Length Restriction for ,Length: Tractor Length Limit (feet) for ,Length: Tractor Length Limit (meters) for,0.3048,Tractor Length (feet),Tractor Length (meters)
!K,KingpinToLastAxle_Feet_,Double,1,Length: Kingpin to Last Axle Restriction for ,Length: Kingpin to Last Axle Limit (feet) for ,Length: Kingpin to Last Axle Limit (meters) for,0.3048,Kingpin to Last Axle (feet),Kingpin to Last Axle (meters)
!L,KingpinToMiddleOfLastTandem_Feet_,Double,1,Length: Kingpin to Middle of Last Tandem Restriction for ,Length: Kingpin to Middle of Last Tandem Limit (feet) for ,Length: Kingpin to Middle of Last Tandem Limit (meters) for,0.3048,Kingpin to Middle of Last Tandem (feet),Kingpin to Middle of Last Tandem (meters)
!M,KingpinToEndOfTrailer_Feet_,Double,1,Length: Kingpin to End of Trailer Restriction for ,Length: Kingpin to End of Trailer Limit (feet) for ,Length: Kingpin to End of Trailer Limit (meters) for,0.3048,Kingpin to End of Trailer (feet),Kingpin to End of Trailer (meters)
!N,OtherLength_Feet_,Double,1,Length: Other Length Restriction for ,Length: Other Length Limit (feet) for ,Length: Other Length Limit (meters) for,0.3048,Other Length (feet),Other Length (meters)
!O,VehicleWidth_Feet_,Double,1,Width: Total Vehicle Width Restriction for ,Width: Total Vehicle Width Limit (feet) for ,Width: Total Vehicle Width Limit (meters) for,0.3048,Total Vehicle Width (feet),Total Vehicle Width (meters)
!P,VehicleHeight_Feet_,Double,1,Height: Total Vehicle Height Restriction for ,Height: Total Vehicle Height Limit (feet) for ,Height: Total Vehicle Height Limit (meters) for,0.3048,Total Vehicle Height (feet),Total Vehicle Height (meters)
@A,AgricultureLoad_,Text,1,Load: Agriculture Load on ,,,,,
@B,Coal_,Text,1,Load: Coal on ,,,,,
@C,BuildingMaterialsLoad_,Text,1,Load: Building Materials Load on ,,,,,
@D,SanitaryWasteLoad_,Text,1,Load: Sanitary Waste Load on ,,,,,
@E,SandAndGravel_,Text,1,Load: Sand And Gravel on ,,,,,
@F,CommodityLoad_,Text,1,Load: Commodity Load on ,,,,,
@G,NaturalResources_,Text,1,Load: Natural Resources on ,,,,,
@H,HazMatClass1_,Text,1,HazMat: Class 1: Explosives on ,,,,,
@I,HazMatClass2_,Text,1,HazMat: Class 2: Flammable/Compressed/Poisonous Gases on ,,,,,
@J,HazMatClass3_,Text,1,HazMat: Class 3: Flammable/Compressed Liquids on ,,,,,
@K,HazMatClass4_,Text,1,HazMat: Class 4: Flammable Solids/Spontaneously Combustible Materials on ,,,,,
@L,HazMatClass5_,Text,1,HazMat: Class 5: Oxidizers/Organic Peroxides on ,,,,,
@M,HazMatClass6_,Text,1,HazMat: Class 6: Poisonous/Toxic/Infectious Substances on ,,,,,
@N,HazMatClass7_,Text,1,HazMat: Class 7: Radioactive Materials on ,,,,,
@O,HazMatClass8_,Text,1,HazMat: Class 8: Corrosive Materials on ,,,,,
@P,HazMatClass9_,Text,1,HazMat: Class 9: Miscellaneous Hazardous Materials on ,,,,,
@Q,HazMatClassI_,Text,1,HazMat: Class I: Poisonous Inhalation Hazards on ,,,,,
@S,GeneralHazardousMaterials_,Text,1,General Hazardous Materials on ,,,,,
@T,ExplosiveMaterials_,Text,1,Explosive Materials on ,,,,,
@U,GoodsHarmfulToWater_,Text,1,Goods Harmful to Water on ,,,,,
@Z,HazMatAllClasses_,Text,1,HazMat: All Classes on ,,,,,
